likelihood,Particles,Method
-203518.64523006012,100,Bootstrap
-208584.39195151188,100,Bootstrap
-207181.63648819292,100,Bootstrap
-212743.77504162412,100,Bootstrap
-211213.29738806345,100,Bootstrap
-211055.78008824622,100,Bootstrap
-210803.23630555844,100,Bootstrap
-212432.2423535046,100,Bootstrap
-209279.70565677853,100,Bootstrap
-210717.91388273318,100,Bootstrap
-212851.87845001137,100,Bootstrap
-208463.05028520836,100,Bootstrap
-213277.86965695635,100,Bootstrap
-211186.19942134578,100,Bootstrap
-204017.77161020166,100,Bootstrap
-209781.04242739084,100,Bootstrap
-207235.7052745221,100,Bootstrap
-211227.78888660666,100,Bootstrap
-208816.64236247304,100,Bootstrap
-216469.50529965165,100,Bootstrap
-212737.72486500896,100,Bootstrap
-206890.75992472097,100,Bootstrap
-211487.18021880998,100,Bootstrap
-210018.96856787597,100,Bootstrap
-211197.78323038353,100,Bootstrap
-209258.77536176614,100,Bootstrap
-207764.38607252215,100,Bootstrap
-207438.98213470547,100,Bootstrap
-207222.02683467983,100,Bootstrap
-208075.4289020565,100,Bootstrap
-213864.810648719,100,Bootstrap
-209858.89752630115,100,Bootstrap
-205262.64044319434,100,Bootstrap
-210201.3184768764,100,Bootstrap
-208600.23882230895,100,Bootstrap
-209668.9859565523,100,Bootstrap
-215292.7844150346,100,Bootstrap
-213001.60121948595,100,Bootstrap
-209599.99945074695,100,Bootstrap
-210313.37127065775,100,Bootstrap
-208917.7314793459,100,Bootstrap
-213124.5787175883,100,Bootstrap
-212481.70658494078,100,Bootstrap
-206195.51291011667,100,Bootstrap
-204439.8194305781,100,Bootstrap
-203859.1445825759,100,Bootstrap
-212695.8104056486,100,Bootstrap
-210033.88483641468,100,Bootstrap
-212988.9548450014,100,Bootstrap
-210717.56758617493,100,Bootstrap
-208387.95394150072,100,Bootstrap
-207346.92599442895,100,Bootstrap
-215163.49341056502,100,Bootstrap
-208859.49706387744,100,Bootstrap
-213131.30194371875,100,Bootstrap
-209472.34827013567,100,Bootstrap
-207538.77009309825,100,Bootstrap
-208652.76391570386,100,Bootstrap
-213935.48787335426,100,Bootstrap
-211274.84656918058,100,Bootstrap
-208920.43951924238,100,Bootstrap
-211111.69362143235,100,Bootstrap
