Particles,ll,Algorithm
500,891.8980200256085,Bootstrap
500,897.3304481348378,Bootstrap
500,889.5309944270128,Bootstrap
500,890.3943733411959,Bootstrap
500,898.0320959720926,Bootstrap
500,903.0108069480028,Bootstrap
500,900.1582113259924,Bootstrap
500,900.3603456764391,Bootstrap
500,889.5367599518022,Bootstrap
500,889.7727650836854,Bootstrap
500,892.2698877260959,Bootstrap
500,888.6832276854263,Bootstrap
500,892.5052049093345,Bootstrap
500,895.1149738085819,Bootstrap
500,898.8447203405967,Bootstrap
500,895.0932292216854,Bootstrap
500,890.1022962993803,Bootstrap
500,891.5311413687201,Bootstrap
500,892.7224496301419,Bootstrap
500,892.7436572561317,Bootstrap
1000,895.1752053816608,Bootstrap
1000,897.8221228720155,Bootstrap
1000,896.0413959793857,Bootstrap
1000,895.6968163546187,Bootstrap
1000,894.9148609951909,Bootstrap
1000,897.5889512756086,Bootstrap
1000,897.5100359225836,Bootstrap
1000,897.3022634462045,Bootstrap
1000,894.7325222821937,Bootstrap
1000,895.0761044828511,Bootstrap
1000,892.845516584867,Bootstrap
1000,899.876049202197,Bootstrap
1000,895.0027936527158,Bootstrap
1000,898.7424553059923,Bootstrap
1000,894.1806823165065,Bootstrap
1000,899.322717804881,Bootstrap
1000,894.2370627690054,Bootstrap
1000,894.4222016563385,Bootstrap
1000,895.0885276549834,Bootstrap
1000,895.8545515454235,Bootstrap
